"created_at","entity_type","objectLabel","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-10-30T13:05:39.046Z","Domain-Name","phishing","TLP:CLEAR","canadapost-postescanadacd.top","2024-10-30T13:05:39.106Z","canadapost-postescanadacd.top","Phishingarmy URL",""
"2024-10-30T13:05:39.166Z","Domain-Name","phishing","TLP:CLEAR","canadapost-postescanadahg.top","2024-10-30T13:05:39.228Z","canadapost-postescanadahg.top","Phishingarmy URL",""
"2024-10-30T13:05:39.240Z","Domain-Name","phishing","TLP:CLEAR","canadapost.ca-postescanada.top","2024-10-30T13:05:39.296Z","canadapost.ca-postescanada.top","Phishingarmy URL",""
"2024-10-30T13:05:39.261Z","Domain-Name","phishing","TLP:CLEAR","chunhechen2.com","2024-10-30T13:05:39.296Z","chunhechen2.com","Phishingarmy URL",""
"2024-10-30T13:05:39.374Z","Domain-Name","phishing","TLP:CLEAR","clariotx.com","2024-10-30T13:05:39.403Z","clariotx.com","Phishingarmy URL",""
"2024-10-30T13:05:39.392Z","Domain-Name","phishing","TLP:CLEAR","client-host.com","2024-10-30T13:05:39.412Z","client-host.com","Phishingarmy URL",""
"2024-10-30T13:05:39.452Z","Domain-Name","phishing","TLP:CLEAR","condimentbag.com","2024-10-30T13:05:39.512Z","condimentbag.com","Phishingarmy URL",""
"2024-10-30T13:05:39.520Z","Domain-Name","phishing","TLP:CLEAR","correos.kelo.top","2024-10-30T13:05:39.570Z","correos.kelo.top","Phishingarmy URL",""
"2024-10-30T13:05:39.554Z","Domain-Name","phishing","TLP:CLEAR","correosapp.work","2024-10-30T13:05:39.597Z","correosapp.work","Phishingarmy URL",""
"2024-10-30T13:05:39.642Z","Domain-Name","phishing","TLP:CLEAR","cotec-europe.org","2024-10-30T13:05:39.682Z","cotec-europe.org","Phishingarmy URL",""
"2024-10-30T13:05:39.666Z","Domain-Name","phishing","TLP:CLEAR","cryacapital.com","2024-10-30T13:05:39.710Z","cryacapital.com","Phishingarmy URL",""
"2024-10-30T13:05:39.730Z","Domain-Name","phishing","TLP:CLEAR","cyberfloks-pl-117f5a4d.glas.cfolks.pl","2024-10-30T13:05:39.775Z","cyberfloks-pl-117f5a4d.glas.cfolks.pl","Phishingarmy URL",""
"2024-10-30T13:05:39.795Z","Domain-Name","phishing","TLP:CLEAR","cyberfloks-pl-71e4ccb8.glas.cfolks.pl","2024-10-30T13:05:39.818Z","cyberfloks-pl-71e4ccb8.glas.cfolks.pl","Phishingarmy URL",""
"2024-10-30T13:05:39.836Z","Domain-Name","phishing","TLP:CLEAR","cyberfloks-pl-7c220477.glas.cfolks.pl","2024-10-30T13:05:39.884Z","cyberfloks-pl-7c220477.glas.cfolks.pl","Phishingarmy URL",""
"2024-10-30T13:05:39.914Z","Domain-Name","phishing","TLP:CLEAR","cyberfloks-pl-c53681c0.glas.cfolks.pl","2024-10-30T13:05:39.940Z","cyberfloks-pl-c53681c0.glas.cfolks.pl","Phishingarmy URL",""
"2024-10-30T13:05:39.954Z","Domain-Name","phishing","TLP:CLEAR","cyberfloks-pl-ce87b65d.glas.cfolks.pl","2024-10-30T13:05:39.989Z","cyberfloks-pl-ce87b65d.glas.cfolks.pl","Phishingarmy URL",""
"2024-10-30T13:05:39.989Z","Domain-Name","phishing","TLP:CLEAR","cyberfloks-pl-d0a82c1e.glas.cfolks.pl","2024-10-30T13:05:40.027Z","cyberfloks-pl-d0a82c1e.glas.cfolks.pl","Phishingarmy URL",""
"2024-10-30T13:05:40.013Z","Domain-Name","phishing","TLP:CLEAR","cyberfloks-pl-d929d221.glas.cfolks.pl","2024-10-30T13:05:40.065Z","cyberfloks-pl-d929d221.glas.cfolks.pl","Phishingarmy URL",""
"2024-10-30T13:05:40.470Z","Domain-Name","phishing","TLP:CLEAR","cyberfloks-pl-e5b9cc96.glas.cfolks.pl","2024-10-30T13:05:40.703Z","cyberfloks-pl-e5b9cc96.glas.cfolks.pl","Phishingarmy URL",""
"2024-10-30T13:05:41.584Z","Domain-Name","phishing","TLP:CLEAR","debank-debank.com","2024-10-30T13:05:41.648Z","debank-debank.com","Phishingarmy URL",""
"2024-10-30T13:05:41.584Z","Domain-Name","phishing","TLP:CLEAR","d.myjtex.top","2024-10-30T13:05:41.649Z","d.myjtex.top","Phishingarmy URL",""
"2024-10-30T13:05:41.584Z","Domain-Name","phishing","TLP:CLEAR","d5aa.com","2024-10-30T13:05:41.650Z","d5aa.com","Phishingarmy URL",""
"2024-10-30T13:05:42.615Z","Domain-Name","phishing","TLP:CLEAR","deecoun.com","2024-10-30T13:05:42.786Z","deecoun.com","Phishingarmy URL",""
"2024-10-30T13:05:42.908Z","Domain-Name","phishing","TLP:CLEAR","demawoodworkdemawoodwork.standard.us-east-1.oortech.com","2024-10-30T13:05:42.977Z","demawoodworkdemawoodwork.standard.us-east-1.oortech.com","Phishingarmy URL",""
"2024-10-30T13:05:42.911Z","Domain-Name","phishing","TLP:CLEAR","demotears.com","2024-10-30T13:05:42.977Z","demotears.com","Phishingarmy URL",""
"2024-10-30T13:05:43.682Z","Domain-Name","phishing","TLP:CLEAR","devexatlas.org","2024-10-30T13:05:43.801Z","devexatlas.org","Phishingarmy URL",""
"2024-10-30T13:05:44.109Z","Domain-Name","phishing","TLP:CLEAR","di-yixs.com","2024-10-30T13:05:44.273Z","di-yixs.com","Phishingarmy URL",""
"2024-10-30T13:05:44.411Z","Domain-Name","phishing","TLP:CLEAR","digennarocovidresponse.com","2024-10-30T13:05:44.468Z","digennarocovidresponse.com","Phishingarmy URL",""
"2024-10-30T13:05:45.019Z","Domain-Name","phishing","TLP:CLEAR","dis138pola.com","2024-10-30T13:05:45.080Z","dis138pola.com","Phishingarmy URL",""
"2024-10-30T13:05:45.019Z","Domain-Name","phishing","TLP:CLEAR","direct2floristorders.com","2024-10-30T13:05:45.081Z","direct2floristorders.com","Phishingarmy URL",""
"2024-10-30T13:05:45.771Z","Domain-Name","phishing","TLP:CLEAR","dis138rtp.com","2024-10-30T13:05:45.786Z","dis138rtp.com","Phishingarmy URL",""
"2024-10-30T13:05:46.322Z","Domain-Name","phishing","TLP:CLEAR","dnmjh.com","2024-10-30T13:05:46.377Z","dnmjh.com","Phishingarmy URL",""
"2024-10-30T13:05:46.322Z","Domain-Name","phishing","TLP:CLEAR","dismafar.com","2024-10-30T13:05:46.494Z","dismafar.com","Phishingarmy URL",""
"2024-10-30T13:05:46.336Z","Domain-Name","phishing","TLP:CLEAR","dollarpussy.com","2024-10-30T13:05:46.561Z","dollarpussy.com","Phishingarmy URL",""
